Latitude,Longitude,Population,G25-1,G25-2,G25-3,G25-4,G25-5,G25-6,G25-7,G25-8,G25-9,G25-10,G25-11,G25-12,G25-13,G25-14,G25-15,G25-16,G25-17,G25-18,G25-19,G25-20,G25-21,G25-22,G25-23,G25-24,G25-25
48.48221,74.42368,Kazakhstan_Tasmola_EIA:KSH004.AG,0.079676,-0.151314,0.058454,0.034884,-0.042469,-0.002231,0.00282,-0.002538,-0.000818,-0.019864,-0.010718,-0.006145,0.000446,-0.015138,0.013436,0.010209,0.008866,-0.000127,-0.005279,0.006003,-0.017968,0.004328,-0.008751,0.000482,-0.006466
48.48834,74.42547,Kazakhstan_Central_Saka:DA16.SG,0.088782,-0.118817,0.058831,0.050711,-0.040007,0.008925,-0.007285,0.000923,-0.01084,-0.020046,-0.012829,-0.002098,0.005352,-0.018304,0.014386,0.009546,0.002738,-0.003927,0.005279,0.014007,-0.018592,0.010758,0,0.003976,-0.002155
51.120728,75.637407,Kazakhstan_CentralSaka_o2:DA17.SG,0.110408,0.049761,0.013576,0.059109,-0.03693,0.028447,0.01081,-0.004846,-0.028838,-0.03098,0.001299,-0.002098,0.003271,-0.020919,0.018594,0.010872,0.012386,0.005574,-0.003394,0.000625,-0.013351,-0.001113,0.000493,-0.001928,0.003592
52.0158333,77.1861111,Kazakhstan_Nomad_HP:DA177.SG,0.035285,-0.396056,0.081835,-0.030685,-0.072629,-0.0502,0.012221,0.017768,0.005727,0.010752,-0.039298,0.000899,-0.004014,0.008395,0.001357,0.001591,0.002217,-0.001014,0.00352,0.022886,-0.004742,-0.010634,-0.027238,-0.000723,0.004311
49.0436111,73.6211111,Kazakhstan_Kipchak1:DA179.SG,0.066017,-0.042652,-0.013199,-0.009044,-0.019696,0.004462,-0.002585,0.008077,-0.008181,-0.010023,-0.009906,0.001199,0.003419,-0.000963,0.002579,0.018563,0.009779,-0.006841,0.005405,-0.002501,0.000374,0.002968,0.003697,0.011568,-0.006706
51.671025,74.67165,Kazakhstan_Nomad_IA_o:DA18.SG,0.09675,0.034528,0.029793,0.063631,-0.03139,0.010877,-0.00517,0.001385,-0.018407,-0.042461,0.001461,-0.001049,-0.001635,-0.031103,0.030673,0.000928,-0.013038,0.004941,-0.006788,-0.003252,-0.008984,-0.008285,-0.004314,0.005061,0.004311
43.068611,68.248889,Kazakhstan_CentralSaka_o2:DA19.SG,0.101303,0.050776,0.01961,0.058786,-0.027697,0.021753,0.008695,0.005307,-0.030474,-0.041732,0.005684,-0.007643,0.004608,-0.020231,0.013165,0.022408,0.002868,-0.000633,-0.005405,0.000125,-0.011355,0.001855,-0.008134,-0.00976,-0.006945
51.671025,74.67165,Kazakhstan_Nomad_Hun_Sarmatian:DA20.SG,0.037562,-0.411289,0.09428,-0.02584,-0.084631,-0.047411,0.015981,0.015461,0.004295,0.014943,-0.018025,0.001948,-0.009514,0.001239,-0.000136,-0.004906,0.00013,-0.000127,0.001383,0.011255,-0.020838,0.005193,-0.017501,-0.001687,0.000958
43.06861111,68.24888889,Kazakhstan_Wusun_LateSaka:DA201.SG,0.092197,-0.01828,0.043746,0.048127,-0.042469,0.012829,-0.00329,-0.00923,-0.027815,-0.030433,-0.00065,0.003597,0.00669,-0.023533,0.017372,0.027844,0.005346,-0.000127,0.006285,0.008504,-0.02009,0.001855,0.015776,0.000361,-0.007664
46.0397222,53.4422222,Kazakhstan_Sarmatian:DA202.SG,0.101303,0.053823,0.037712,0.059755,-0.018157,0.028726,0,0.013615,-0.018203,-0.028247,0.000325,0.000599,0.001933,-0.025047,0.019001,0.012463,-0.011343,-0.001774,0.007039,-0.004002,-0.016346,0.00136,0.001602,0.008194,-0.000239
43.2025,76.9816667,Kazakhstan_SouthEast_Karakhanid:DA203.SG,0.073985,-0.164516,0.025644,-0.002907,-0.048932,-0.006972,0.00893,-0.000462,-0.016975,-0.009112,-0.027768,-0.000749,0.00446,-0.007156,0.005429,0.001724,-0.009518,0.0019,0.001131,-0.002501,-0.006364,0.000989,-0.001232,-0.000482,-0.007065
43.2025,76.9816667,Kazakhstan_Southeast_Karakhanid:DA204.SG,0.067156,-0.15436,0.032432,0.018411,-0.04924,0.000558,-0.001175,0.003,-0.012476,-0.014397,-0.018837,-0.003897,0.001487,-0.015138,0.007736,0.000663,-0.014473,0.00076,0.005782,-0.003001,-0.015972,0.001237,-0.00456,-0.003615,-0.006347
43.2025,76.9816667,Kazakhstan_SouthEast_Karakhanid:DA205.SG,0.060326,-0.197013,0.027153,0.00323,-0.042162,-0.011435,0.00799,0.004846,-0.01309,-0.00893,-0.013641,-0.004196,0.000446,-0.004404,0.007465,0.008353,-0.000391,-0.003041,-0.001257,0.003627,-0.013975,0.002597,-0.001849,-0.00253,-0.002994
41.415234,68.798064,Kazakhstan_Kangju:DA206.SG,0.101303,0.064994,-0.00792,0.027778,-0.030775,0.017849,0.00705,0.001154,-0.028429,-0.027335,0.003897,0.001349,-0.004311,-0.021882,0.012893,0.024662,0.001304,-0.001774,0.002514,-0.006628,-0.003494,-0.000247,0.010846,0.002892,-0.002634
43.06861111,68.24888889,Kazakhstan_Wusun:DA220.SG,0.104717,0.036559,-0.00528,0.052326,-0.045855,0.018407,0.010105,-0.009923,-0.030883,-0.031891,-0.00747,0.001798,0.00669,-0.012799,0.0057,0.005171,-0.010431,-0.003801,0,-0.002376,-0.016346,0.015333,-0.003451,-0.002048,-0.005868
43.1822222,76.4130556,Kazakhstan_IA_Saka:DA221.SG,0.092197,-0.053823,0.04186,0.057817,-0.037238,0.008646,0.000705,-0.000231,-0.018612,-0.031345,-0.004872,-0.001049,0.002973,-0.030965,0.017508,0.01896,0.004824,-0.001267,0.006411,0.008629,-0.009608,0.005812,0.001479,0.003976,0.003353
43.2025,76.9816667,Kazakhstan_Karluk_1:DA222.SG,0.061464,-0.158423,0.01961,0.002907,-0.059703,-0.009761,0.00799,0.011769,-0.014521,-0.011845,-0.019324,-0.001499,0.000595,-0.006468,0.009772,-0.001193,-0.00339,0.007981,0.007919,-0.001626,-0.018592,-0.002226,-0.003697,-0.00482,0.003592
43.06861111,68.24888889,Kazakhstan_Wusun:DA223_noUDG.SG,0.100164,0.01828,0.015839,0.052972,-0.04924,0.026774,0.001645,-0.003,-0.035792,-0.036265,-0.00341,0.000599,0.003865,-0.014313,0.020358,0.006629,-0.019558,0.001267,-0.002514,-0.008879,-0.013601,-0.008285,0.005916,-0.003615,0.000599
41.415234,68.798064,Kazakhstan_Kangju:DA226.SG,0.102441,0.051792,0.030924,0.050065,-0.01908,0.018965,-0.002115,-0.008077,-0.026793,-0.024784,-0.005846,-0.004196,0.000595,-0.019955,0.024294,0.018165,0.00665,-0.00266,-0.001006,-0.002626,-0.007612,-0.007048,-0.002588,0.004458,-0.005508
43.22005,77.84759,Kazakhstan_Wusun_LateSaka_o:DA227.SG,0.092197,0.012186,0.014331,0.055879,-0.037545,0.019801,-0.00423,-0.001385,-0.029451,-0.037358,-0.002923,-0.010491,0.010555,-0.018304,0.020901,0.015115,0.003912,-0.001394,-0.000754,0.002876,-0.004367,0.000618,0.007395,0.004338,0.00012
43.0686111,68.2488889,Kazakhstan_Turk:DA228.SG,0.081953,-0.097491,0.035072,0.005491,0.000923,0.00251,0.0047,0.011769,-0.009204,-0.008383,-0.025495,-0.009741,-0.001635,-0.007294,-0.000407,0.007955,0.00326,-0.003674,-0.002263,0.0005,-0.007112,0.011252,0.001849,0.006748,0.002754
